ProjectID	SampleID	ReadType
20191024_BC10	BC10_A03	PE
20191024_BC10	BC10_A04	PE
20191024_BC10	BC10_A05	PE
20191024_BC10	BC10_A06	PE
20191024_BC10	BC10_A07	PE
20191024_BC10	BC10_A08	PE
20191024_BC10	BC10_A09	PE
20191024_BC10	BC10_A10	PE
20191024_BC10	BC10_A11	PE
20191024_BC10	BC10_A12	PE
20191024_BC10	BC10_B03	PE
20191024_BC10	BC10_B04	PE
20191024_BC10	BC10_B05	PE
20191024_BC10	BC10_B06	PE
20191024_BC10	BC10_B07	PE
20191024_BC10	BC10_B08	PE
20191024_BC10	BC10_B09	PE
20191024_BC10	BC10_B10	PE
20191024_BC10	BC10_B11	PE
20191024_BC10	BC10_B12	PE
20191024_BC10	BC10_C03	PE
20191024_BC10	BC10_C04	PE
20191024_BC10	BC10_C05	PE
20191024_BC10	BC10_C06	PE
20191024_BC10	BC10_C07	PE
20191024_BC10	BC10_C08	PE
20191024_BC10	BC10_C09	PE
20191024_BC10	BC10_C10	PE
20191024_BC10	BC10_C11	PE
20191024_BC10	BC10_C12	PE
20191024_BC10	BC10_D03	PE
20191024_BC10	BC10_D04	PE
20191024_BC10	BC10_D05	PE
20191024_BC10	BC10_D06	PE
20191024_BC10	BC10_D07	PE
20191024_BC10	BC10_D08	PE
20191024_BC10	BC10_D09	PE
20191024_BC10	BC10_D10	PE
20191024_BC10	BC10_D11	PE
20191024_BC10	BC10_D12	PE
20191024_BC10	BC10_E03	PE
20191024_BC10	BC10_E04	PE
20191024_BC10	BC10_E05	PE
20191024_BC10	BC10_E06	PE
20191024_BC10	BC10_E07	PE
20191024_BC10	BC10_E08	PE
20191024_BC10	BC10_E09	PE
20191024_BC10	BC10_E10	PE
20191024_BC10	BC10_E11	PE
20191024_BC10	BC10_E12	PE
20191024_BC10	BC10_F03	PE
20191024_BC10	BC10_F04	PE
20191024_BC10	BC10_F05	PE
20191024_BC10	BC10_F06	PE
20191024_BC10	BC10_F07	PE
20191024_BC10	BC10_F08	PE
20191024_BC10	BC10_F09	PE
20191024_BC10	BC10_F10	PE
20191024_BC10	BC10_F11	PE
20191024_BC10	BC10_F12	PE
20191024_BC10	BC10_G03	PE
20191024_BC10	BC10_G04	PE
20191024_BC10	BC10_G05	PE
20191024_BC10	BC10_G06	PE
20191024_BC10	BC10_G07	PE
20191024_BC10	BC10_G08	PE
20191024_BC10	BC10_G09	PE
20191024_BC10	BC10_G10	PE
20191024_BC10	BC10_G11	PE
20191024_BC10	BC10_G12	PE
20191024_BC10	BC10_H03	PE
20191024_BC10	BC10_H04	PE
20191024_BC10	BC10_H05	PE
20191024_BC10	BC10_H06	PE
20191024_BC10	BC10_H07	PE
20191024_BC10	BC10_H08	PE
20191024_BC10	BC10_H09	PE
20191024_BC10	BC10_H10	PE
20191024_BC10	BC10_H11	PE
20191024_BC10	BC10_H12	PE
